source_airport,destination_airport,distance_km,avg_delay_min,cost_usd
MAA,SFO,13700,120,520
DEL,JFK,11750,150,610
BOM,LHR,7200,85,580
BLR,SIN,2900,40,200
SFO,NRT,8280,100,490
LAX,HND,8850,105,520
JFK,LHR,5550,90,430
CDG,FRA,480,25,90
SIN,HKG,2600,20,180
SYD,AKL,2150,30,130
DXB,LHR,5500,50,340
MAA,DXB,2950,35,190
BOM,DXB,3000,40,210
DEL,SIN,4150,25,220
LHR,CDG,350,15,95
HKG,SFO,11100,110,510
NRT,SYD,7800,85,460
FRA,ORD,7200,80,510
ORD,ATL,1000,45,180
ATL,LAX,3200,60,270
JFK,SFO,4700,70,360
DEL,SFO,13200,160,590
LAX,NRT,8800,95,470
SYD,HKG,7400,90,480
SIN,MEL,6000,70,420
MAA,BOM,1030,20,130
BLR,DEL,2100,25,170
MAA,BLR,300,10,75
SFO,LAX,540,15,110
JFK,BOS,300,10,90
DXB,MAA,2950,45,200
LHR,JFK,5550,110,450
SFO,CDG,8950,130,550
SIN,SYD,6300,75,430
BOM,MAA,1030,15,120
DEL,BOM,1140,22,140
JFK,MIA,1750,55,250
MIA,LAX,3780,65,300
ORD,SFO,2980,70,280
LHR,DXB,5500,60,350
